text,lable
RT @mike_pence: Touring the historic Gettysburg battlefield—the site of the Civil War's bloodiest battle. https://t.co/nB1TY8l1O3,1
"RT @20committee: Politics would be a lot more pleasant if we accepted espionage realities -- and Trump+Hillary stopped lying so much.
https…",1
"RT @TrumpPence2020: Dear #Hillary, come see the faces of real #Americans  https://t.co/xHorUjyOWS https://t.co/clhIROVpsM",1
"RT @sonsandbros: Happy B'Day to mother, organizer, political commentator, Hip Hop activist, and former Green Party Vice-Presidential candid…",0
"I love to see some Blacks starting to wake up! 
Spread this pic! MSM won't show it! https://t.co/qn1Np7VBOe",1
"RT @CarolLe84828745: @MoveOn @realDonaldTrump Don t u mean Bill Clinton, POTUS doing what he did in Oval Office???
Say it the way it is, OK",1
"Another example of libs opposing free speech. LL Bean are working, you liberal brats should try it too some time!… https://t.co/4I8Z3KwPTf",1
RT @sailmom: @ArtHauntsMe @ezlusztig men really do not understand pregnancy - and pro-lifers do not acknowledge the truth,0
In '08 Hillary said she won't drop out of race because Obama may be assassinated. It wasn't about the 2nd Amendment. https://t.co/nXgjgAMJsT,1
RT @BoogsMalone: Aye bro! Listen to my latest beats and hooks at https://t.co/HD2IWLWYvB #Beats,1
"RT @usgunviolence6: How racist is America? - ""The Two Races in America"" https://t.co/Yf5UVhZote #p2 #2a #BlackLivesMatter #gunsense https:/…",0
#GOPDebate Stop being ignorant. #GunControl simply will make our life safer #StopTheGOP,1
RT @ShelsABoss: Sometimes I wish I knew what I was getting myself into before I started to care this much.,0
"RT @catsofinstagram: From @instafelix_the_cat: ""Logan being dramatic"" #catsofinstagram https://t.co/r6Jsvb555i",1
RT @AllenWestRepub: Sean Spicer Spicing Up the Airwaves? https://t.co/17XrdpXJvT via @conservativebyt https://t.co/Gl1v9aXczF,0
"Happy Birthday, George Washington! May your memory never fade.  #HappyBirthdayGeorgeWashington https://t.co/QKfEwuticy",1
RT @backyardconserv: Did he care about #SuzetteKelo? No: Supreme Court needs judges like Gorsuch because America has leaders like Schumer h…,1
"RT @theordinaryman2: You laughed at us &amp; now we are laughing at you ..

#DonaldTrump #NigelFarage #Brexit #Amexit #PreidentTrump #UKIP http…",0
"Data shows NYC’s 'Stop and Frisk' doesn't work.
https://t.co/SWIAx9koL3 https://t.co/XZjgG0a6ps",1
"#NoCyberCensorship a thought to China's great firewall, the biggest censor in the world https://t.co/uhPteC61My",0
"RT @wweTheBeast2015: What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton https://t.co/4rHPz15RnD via @voxdotcom",1
RT @tonystubblebine: @LouisatheLast @FeministaJones Feels both stupid and unfair with Rs not approving Obama's SCOTUS nomination. He's stil…,1
"RT @RealDrGina: .@SeanHannity destroys the unfounded claims in Obama's Farewell Address. ""A disastrous legacy""  https://t.co/yrzOrS9uCb",0
Gabon names new government after winning disputed election  #world #news,1
RT @CincinnatiDays: Remembering Reds pitcher Jim Maloney's no-hitter 50 years ago today at Wrigley Field  #sports,0
@realDonaldTrump @tedcruz Thank you Donald Trump! We love you!,0
#IStartCryingWhen I realize that Hillary or Trump are our presidential candidates,1
Obama is mad he got whipped by the people a few weeks ago and now he's going to troll America for the last 2 years  #IllegalAmigoz,1
Obama gets the crowd laughing http://t.co/4cSMukGLIH,1
RT @kadyalexis: ICE Officials just told Trump that illegals are being allowed to vote &amp; that's why Obama won't deport criminals. https://t.…,0
There is never going to ever be a better show than Lost.. #TweetsFrom10YearsAgo,1
"US admits high civilian casualties in Manbij airstrikes, Says strikes must continue anyway.

https://t.co/kozz2Nxrkm https://t.co/kWIkjjgtWA",0
#2017SurvivalTips don’t forget to do sports https://t.co/pnqRtCpJ4I,0
Take a look at this 'brutal' cop👇,0
RT @WorldLatinStar: HAHAHA #EPICFAIL TV Host Edition when telling #PrinceRoyce That he won a #LatinAMAs Before But… https://t.co/QGUXwH0rLm,1
RT @richposlim: Being trifling https://t.co/vbVXmefxIF,1
"RT @kylegriffin1: Clinton campaign manager @RobbyMook has sent a message to supporters: ""There has never been more work to do."" https://t.c…",0
"RT @ProLifePolitics: ""A pregnancy is not a baby."" ? What do you think women are pregnant with? 🤔 https://t.co/Y9cYEL4E7q",0
Trump Video Fallout Spares Him Punishment of Most CEOs  #politics,1
RT @ReaganBattalion: Breaking: Trump is set to announce that he has convinced Amazon to hire 1000 new workers right after he finishes readi…,1
RT @nenelilly: Report: FBI Russia Probe Failed To Find Evidence Against President Trump https://t.co/I2S5wukULm https://t.co/DvX7HzKjcC @Da…,1
"RT @identicaIs: Working on myself, by myself, for myself.",0
RT @realDonaldTrump: Beautiful morning- thank you @ICLV! https://t.co/xzJhrLgjHP,0
RT @andersonDrLJA: #Crooked HILLARY HERSELF HAS SAID No One Is To Big to be Prosecuted &amp; Sent to Prison SO BE IT! #HillaryForPrison2016 htt…,1
"In a year of #OscarsSoWhite, a Mexican film-maker quietly dominates the #AcademyAwards #OscarHasNoColor https://t.co/uKR…",1
RT @FemaleKnows: I'd eat all of it 🍍🍉🍇🍊🍎🍒🍓 https://t.co/qlja2jkzFX,0
"RT @saracohennyc: DNC screwd pooch by fraudulnt behavior to elect Hillary, selfish corporte puppt #JillnotHill Don't promte corruption http…",0
"RT @Chris_1791: Man Up, Campus Christians—Your Timidity Feeds the PC Beast https://t.co/Z4iqEUTjyA",1
"RT @daniecal: But then I remembered a lot of religious texts have been used in the past to assert the same thing. 
So I try to temper my ju…",1
RT @Trafficboutique: Somebody shoulda told me it would be like this...,0
RT @christinagausas: .@POTUS stop the pipeline and demilitarize North Dakota. Please don't leave this to Trump. https://t.co/rzdHGAAlfs,1
Girls think they can't shave their legs #ChildrenThinkThat,0
"RT @LeahRBoss: Who will run the country when it's over 78 degrees or after 8 pm? 

 #ZombieHillary",0
RT @coasttocoastam: News segment guests: Lauren Weinstein https://t.co/W48ODLOZK4  / Mish Shedlock https://t.co/56qCje75je,1
RT @ajplus: There are now more than 45 million slaves in the world. Almost half of them are in India. https://t.co/hz2UqdHSAq https://t.co/…,0
RT @KeshaTedder: #MakeAMovieCaffeinated Mocha ado about nothing,1
RT @BlogOverwatch: U.S. lawmakers to examine worst-ever bird flu outbreak http://t.co/sYKzB2IwGv,0
"RT @DANEgerus: Democrats insisting Trump is Hitler should explain ""National Socialist German Workers' Party"" Nationalsozialistische Deutsch…",1
"RT @PrisonPlanet: Hillary campaign plays """"I feel good"" by James Brown as she walks on stage. (James Brown died of pneumonia). https://t.co…",0
"It is not how big you are, it's how big you play. -Unknown",0
RT @TYCASHH: Stay positive and good things will happen.,0
RT @myteks: #FIFACongress Joseph Blatter #FIFAelection #FIFA #Blatter #FIFAgate #FIFAcorruption http://t.co/WAITXOac7F,0
RT @ZunRa: C.I.A. - Cunt Is Alive #AlternativeAcronymInterpretations,0
tweet_content,1
rt glossphoenix never watch collect fuck bratz movi show,0
omg believ sell dropbox folder w 150 nude amp 25 video amp dming live nude f,0
asa akira ava lauren beach sex free porn video french anal ftm porn fuck hard matur sex milf anal pokemon hent,0
anyon sassi smart mouth cuuuuteee old favorit word x89 x89 amp x89 boo x89 x9d x89 sh x89 co aqxguisj2x,0
scare karma got know gonna bitch babi happen,0
need today x89 gettin swear right,1
cutest littl night couldnt sassi,1
tit mouth offic lesbian eleg creampi eat quickest cumshot hentai sm x89 co 0kwsjlkz3m,1
absolut sonya hadil c mkraustralia,1
heard homeless woman twelv x89 x89 slut wear x89 co 3fy6kxcvkx,0
love bbi rt like singl girl boob boob camgirl cumtribut fuck hard fuck hardcor,1
tristan thompson nastiest skank bitch ever met trust fug slut,1
tfmonkeyyoutub bitch problem doctor philosophi sake hard world chang x89 co ivhksm6bjp,0
noah slut tsunder girl dorki guy pair,0
fatma a3arfch 3adl tweet point amp ava 7lu,1
dress would everytim th x89 co ntpr4wfnah,1
rt yfc zobel last entri camp year camp zion held februari 15 17 loi collect friday jan 11 h,1
meghantonj video take alcohol someon x89 foreskin take twitter break,0
indian pussi eboni deepthroat cumshot beauti drunk fuck gypsi nurs porn x89 co k054mahmpo,0
kim kardashian 32 amp amp pregnant hoe 16 4 kid babi daddi yall call,0
realli fuck peopl gotten justic deserv age ago,0
lewdemberkitti mayb show princess get dirti far entic hope,0
slut suck one eye monster insid car n co pspvu44t0t aspenra hardcor gladiat sandal b x89 co idkxsu48fa,0
po cup fuck slut bitch,1
ofsevit skoczela briannawu doubt learn mistak one fail campaign mean p,0
pleas know defin hoe slut bitch confus,1
realdealbarn colleg goal straight make money amp wild bless,1
ball wouldnt manag huge feet pure totur littl cum slut foot slave bitch humili,1
trump one separ famili amp put children cage foxnew foxandfriend seanhann aarp cnnbrk,0
gai4ubb x89 stop shame x89 bitch gross post someth person make peopl uncomfort disappoint x89,0
rt coloss upcycl lobster shell transform function planter packag,0
blowjob gif bj surpris slut skill,0
jocelinecam librari x89 x9dwhat x89 point halloween whole point slut x89 x9d n nme choke cheeto,1
acowboykil jakeharden19 sophi mhj imagin think slut still valid insult,1
vid gt gt today brazzer histori februari 21 2014 veronicaavluvxx amp keishagrey wa,1
eximind amp ben stone join forc cassiopeia excit new trancer turn,1
happi birthday sassi co 6jhmej3rfb,1
amp booom ava lmaoooo,0
realdonaldtrump educ intellig peopl approv rate pull colleg educ x89 co iudeme11x,1
pic com shaun slut nude teen porn pictur hq full screen drunk girl anal mid school cock girl skin porn ace,0
lmfkk bunch shame mention x89 contact twitter x89 co watb15zvi,1
rt parisdennard pretti sad hollywood joke real instanc human traffick sexual exploit amp victim women amp,1
rt karlnew74099518 shamima begum let break name sham im beg um say realli sham british,0
rt jraw0 twitter bore hell noon amp unemploy peopl wake bullshit,0
